2016/07/31 13:10:50 [info] 18968#0: *2 client 114.158.218.144 closed keepalive connection
2016/07/31 13:11:29 [info] 18968#0: *5 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 13:14:18 [info] 19004#0: *3 client 114.158.218.144 closed keepalive connection
2016/07/31 13:35:03 [info] 19004#0: *33 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:04:21 [info] 19004#0: *123 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:04:21 [info] 19004#0: *125 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:05:42 [info] 19410#0: *5 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:09:52 [info] 19410#0: *22 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:09:52 [info] 19410#0: *24 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:10:05 [info] 19410#0: *29 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:10:05 [info] 19410#0: *30 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:10:05 [info] 19410#0: *31 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
2016/07/31 14:11:01 [info] 19541#0: *4 client closed connection while waiting for request, client: 114.158.218.144, server: 0.0.0.0:80
